"Path","Class","Included","Note"
"public/pieces/chesscom-neo/bq.png","excluded","no","screenshot / raster asset (private design reference or unclear rights)"
"public/pieces/chesscom-neo/br.png","excluded","no","screenshot / raster asset (private design reference or unclear rights)"
"public/pieces/chesscom-neo/wb.png","excluded","no","screenshot / raster asset (private design reference or unclear rights)"
"public/pieces/chesscom-neo/wk.png","excluded","no","screenshot / raster asset (private design reference or unclear rights)"
"public/pieces/chesscom-neo/wn.png","excluded","no","screenshot / raster asset (private design reference or unclear rights)"
"public/pieces/chesscom-neo/wp.png","excluded","no","screenshot / raster asset (private design reference or unclear rights)"
"public/pieces/chesscom-neo/wq.png","excluded","no","screenshot / raster asset (private design reference or unclear rights)"
"public/pieces/chesscom-neo/wr.png","excluded","no","screenshot / raster asset (private design reference or unclear rights)"
"public/web-sw.js","owner-web-asset-review","yes","new owner file; strip old product naming/branding before reuse"
"reports/loxi-ty-10plus0-time-management-report-page1.png","excluded","no","generated owner report artifact (private reference, not product code)"
"reports/loxi-ty-10plus0-time-management-report.pdf","excluded","no","generated owner report artifact (private reference, not product code)"
"reports/loxi-ty-post-2400-unrated-rapid-10plus0-analysis-data.json","excluded","no","generated owner report artifact (private reference, not product code)"
"reports/loxi-ty-post-2400-unrated-rapid-10plus0-analysis-report.pdf","excluded","no","generated owner report artifact (private reference, not product code)"
"reports/loxi-ty-rating-trajectory-data.json","excluded","no","generated owner report artifact (private reference, not product code)"
"reports/loxi-ty-rating-trajectory-report.pdf","excluded","no","generated owner report artifact (private reference, not product code)"
"reports/loxi-ty-unrated-rapid-10plus0-analysis-data.json","excluded","no","generated owner report artifact (private reference, not product code)"
"reports/loxi-ty-unrated-rapid-10plus0-analysis-report.pdf","excluded","no","generated owner report artifact (private reference, not product code)"
"reports/loxi-ty-vs-ifanrj-rating-trajectory-data.json","excluded","no","generated owner report artifact (private reference, not product code)"
"reports/loxi-ty-vs-ifanrj-rating-trajectory-report.pdf","excluded","no","generated owner report artifact (private reference, not product code)"
"scripts/assets/en-croissant-fork.ico","excluded","no","En Croissant branding derivative, DO NOT COPY"
"scripts/build-web-library.mjs","owner-script","yes","new owner file"
"scripts/coach-style-eval.mjs","owner-script","yes","new owner file"
"scripts/dedupe-southall-prep.py","owner-script","yes","new owner file"
"scripts/generate-southall-style-reports.py","owner-script","yes","new owner file"
"scripts/generate-stockfish-opening-games.py","owner-script","yes","new owner file"
"scripts/install-web-sync-task.ps1","owner-script","yes","new owner file; fork-specific dev/publish helper, adapt paths and names"
"scripts/launch-fork.ps1","owner-script","yes","new owner file; fork-specific dev/publish helper, adapt paths and names"
"scripts/publish-web-site.ps1","owner-script","yes","new owner file; fork-specific dev/publish helper, adapt paths and names"
"scripts/safe-dev.ps1","owner-script","yes","new owner file; fork-specific dev/publish helper, adapt paths and names"
"scripts/watch-web-sync.ps1","owner-script","yes","new owner file; fork-specific dev/publish helper, adapt paths and names"
"sound/chess-com/Capture.mp3","excluded","no","chess.com sound files: third-party asset, DO NOT COPY"
"sound/chess-com/Check.mp3","excluded","no","chess.com sound files: third-party asset, DO NOT COPY"
"sound/chess-com/Move.mp3","excluded","no","chess.com sound files: third-party asset, DO NOT COPY"
"src-tauri/src/bin/build_lichess_eval_db.rs","owner-code-rust","yes","new owner file"
"src-tauri/src/bin/export_db_to_pgn.rs","owner-code-rust","yes","new owner file"
"src-tauri/src/coach.rs","owner-code-rust","yes","new owner file"
"src-tauri/src/lib.rs","owner-code-rust","yes","new owner file"
"src-tauri/src/local_eval.rs","owner-code-rust","yes","new owner file"
"src/components/boards/AiCoachPanel.tsx","owner-code-ts","yes","new owner file"
"src/components/boards/BlindfoldTrainingPanel.tsx","owner-code-ts","yes","new owner file"
"src/components/boards/BoardAnalysis.module.css","owner-code-ts","yes","new owner file"
"src/components/boards/BoardStyleSettingsButton.tsx","owner-code-ts","yes","new owner file"
"src/components/boards/BoardWithAnnotationLayout.tsx","owner-code-ts","yes","new owner file"
"src/components/boards/EngineDockedPanel.tsx","owner-code-ts","yes","new owner file"
"src/components/boards/EngineKeyboardShortcuts.tsx","owner-code-ts","yes","new owner file"
"src/components/common/BoardStyleControl.tsx","owner-code-ts","yes","new owner file"
"src/components/common/DatabaseFolderSelect.tsx","owner-code-ts","yes","new owner file"
"src/components/common/GameAnalysisReport.module.css","owner-code-ts","yes","new owner file"
"src/components/common/GameAnalysisReport.tsx","owner-code-ts","yes","new owner file"
"src/components/common/OnlineGamePickerModal.tsx","owner-code-ts","yes","new owner file"
"src/components/common/ResponsivePanel.module.css","owner-code-ts","yes","new owner file"
"src/components/common/ResponsivePanel.tsx","owner-code-ts","yes","new owner file"
"src/components/common/StartupProgress.module.css","owner-code-ts","yes","new owner file"
"src/components/common/StartupProgress.tsx","owner-code-ts","yes","new owner file"
"src/components/databases/AccountStatsPanel.tsx","owner-code-ts","yes","new owner file"
"src/components/panels/analysis/EnginePanelContent.tsx","owner-code-ts","yes","new owner file"
"src/components/panels/annotation/AnnotationEditor.module.css","owner-code-ts","yes","new owner file"
"src/components/panels/annotation/MoveAnnotationPanel.tsx","owner-code-ts","yes","new owner file"
"src/components/panels/compare/ComparePanel.tsx","owner-code-ts","yes","new owner file"
"src/components/panels/database/DatabaseComparePanel.tsx","owner-code-ts","yes","new owner file"
"src/components/panels/database/DatabasePerspectiveControls.tsx","owner-code-ts","yes","new owner file"
"src/components/panels/database/MoveStrengthSettingsButton.tsx","owner-code-ts","yes","new owner file"
"src/components/panels/enginePlan/EnginePlanExplorerPanel.tsx","owner-code-ts","yes","new owner file"
"src/components/panels/gaps/RepertoireGapsPanel.tsx","owner-code-ts","yes","new owner file"
"src/components/panels/plan/PlanCoachInline.tsx","owner-code-ts","yes","new owner file"
"src/components/panels/plan/PlanExplorerPanel.tsx","owner-code-ts","yes","new owner file"
"src/components/panels/prep/OpponentPrepPanel.tsx","owner-code-ts","yes","new owner file"
"src/components/panels/structure/PawnStructurePanel.module.css","owner-code-ts","yes","new owner file"
"src/components/panels/structure/PawnStructurePanel.tsx","owner-code-ts","yes","new owner file"
"src/components/review/OpeningReviewAutoUpdateBanner.tsx","owner-code-ts","yes","new owner file"
"src/components/review/OpeningReviewWorkspace.module.css","owner-code-ts","yes","new owner file"
"src/components/review/OpeningReviewWorkspace.tsx","owner-code-ts","yes","new owner file"
"src/components/tabs/DailyGoalsPanel.module.css","owner-code-ts","yes","new owner file"
"src/components/tabs/DailyGoalsPanel.tsx","owner-code-ts","yes","new owner file"
"src/data/pawnStructureTemplates.v1.json","owner-code-ts","yes","new owner file"
"src/hooks/useBlindfoldMaiaTrainer.ts","owner-code-ts","yes","new owner file"
"src/hooks/usePracticeAgainstBot.ts","owner-code-ts","yes","new owner file"
"src/routes/home.tsx","owner-code-ts","yes","new owner file"
"src/state/liveReplay.ts","owner-code-ts","yes","new owner file"
"src/state/tests/atoms.test.ts","owner-test","yes","new owner file"
"src/utils/accountStats.ts","owner-code-ts","yes","new owner file"
"src/utils/aiCoachOpeningContext.ts","owner-code-ts","yes","new owner file"
"src/utils/analysisSource.ts","owner-code-ts","yes","new owner file"
"src/utils/blindfoldGameLibrary.ts","owner-code-ts","yes","new owner file"
"src/utils/blindfoldTraining.ts","owner-code-ts","yes","new owner file"
"src/utils/boardStyle.ts","owner-code-ts","yes","new owner file"
"src/utils/boundedCache.ts","owner-code-ts","yes","new owner file"
"src/utils/chess.com/clocks.ts","owner-code-ts","yes","new owner file"
"src/utils/chess.com/links.ts","owner-code-ts","yes","new owner file"
"src/utils/commentAnnotations.ts","owner-code-ts","yes","new owner file"
"src/utils/databaseFileExport.ts","owner-code-ts","yes","new owner file"
"src/utils/enginePlanExplorer.ts","owner-code-ts","yes","new owner file"
"src/utils/gameAnalysisReport.ts","owner-code-ts","yes","new owner file"
"src/utils/lichess/planExplorer.ts","owner-code-ts","yes","new owner file"
"src/utils/lichess/study.ts","owner-code-ts","yes","new owner file"
"src/utils/lichessStudyDatabaseAutoUpdate.ts","owner-code-ts","yes","new owner file"
"src/utils/liveReplay.ts","owner-code-ts","yes","new owner file"
"src/utils/mistakeReview.ts","owner-code-ts","yes","new owner file"
"src/utils/mistakeReviewAutoUpdate.ts","owner-code-ts","yes","new owner file"
"src/utils/mistakeReviewClockHydration.ts","owner-code-ts","yes","new owner file"
"src/utils/mistakeReviewPractice.ts","owner-code-ts","yes","new owner file"
"src/utils/moveStrength.ts","owner-code-ts","yes","new owner file"
"src/utils/onlineDatabaseAutoUpdate.ts","owner-code-ts","yes","new owner file"
"src/utils/onlineGameImport.ts","owner-code-ts","yes","new owner file"
"src/utils/onlineGameSource.ts","owner-code-ts","yes","new owner file"
"src/utils/onlineLatestGame.ts","owner-code-ts","yes","new owner file"
"src/utils/onlinePgnClocks.ts","owner-code-ts","yes","new owner file"
"src/utils/openingHealthDateFilter.ts","owner-code-ts","yes","new owner file"
"src/utils/openingMoveHealth.ts","owner-code-ts","yes","new owner file"
"src/utils/openingReview.ts","owner-code-ts","yes","new owner file"
"src/utils/openingReviewAutoUpdate.ts","owner-code-ts","yes","new owner file"
"src/utils/openingReviewOpenings.ts","owner-code-ts","yes","new owner file"
"src/utils/openingReviewPersistence.ts","owner-code-ts","yes","new owner file"
"src/utils/openingReviewPractice.ts","owner-code-ts","yes","new owner file"
"src/utils/opponentPrep.ts","owner-code-ts","yes","new owner file"
"src/utils/pawnStructureDetector.ts","owner-code-ts","yes","new owner file"
"src/utils/pawnStructureTrajectory.ts","owner-code-ts","yes","new owner file"
"src/utils/pawnStructureTypes.ts","owner-code-ts","yes","new owner file"
"src/utils/planExplorer.ts","owner-code-ts","yes","new owner file"
"src/utils/playerName.ts","owner-code-ts","yes","new owner file"
"src/utils/practiceBot.ts","owner-code-ts","yes","new owner file"
"src/utils/puzzleTraining.ts","owner-code-ts","yes","new owner file"
"src/utils/repertoireCopy.ts","owner-code-ts","yes","new owner file"
"src/utils/tests/accountStats.test.ts","owner-test","yes","new owner file"
"src/utils/tests/blindfoldGameLibrary.test.ts","owner-test","yes","new owner file"
"src/utils/tests/blindfoldTraining.test.ts","owner-test","yes","new owner file"
"src/utils/tests/chessComClocks.test.ts","owner-test","yes","new owner file"
"src/utils/tests/chessComLinks.test.ts","owner-test","yes","new owner file"
"src/utils/tests/clock.test.ts","owner-test","yes","new owner file"
"src/utils/tests/commentAnnotations.test.ts","owner-test","yes","new owner file"
"src/utils/tests/databaseFileExport.test.ts","owner-test","yes","new owner file"
"src/utils/tests/enginePlanExplorer.test.ts","owner-test","yes","new owner file"
"src/utils/tests/gameAnalysisReport.test.ts","owner-test","yes","new owner file"
"src/utils/tests/lichessPlanExplorer.test.ts","owner-test","yes","new owner file"
"src/utils/tests/lichessStudy.test.ts","owner-test","yes","new owner file"
"src/utils/tests/liveReplay.test.ts","owner-test","yes","new owner file"
"src/utils/tests/mistakeReview.test.ts","owner-test","yes","new owner file"
"src/utils/tests/mistakeReviewPractice.test.ts","owner-test","yes","new owner file"
"src/utils/tests/onlineGameImport.test.ts","owner-test","yes","new owner file"
"src/utils/tests/openingHealth.test.ts","owner-test","yes","new owner file"
"src/utils/tests/openingMoveHealth.test.ts","owner-test","yes","new owner file"
"src/utils/tests/openingReview.test.ts","owner-test","yes","new owner file"
"src/utils/tests/openingReviewOpenings.test.ts","owner-test","yes","new owner file"
"src/utils/tests/openingReviewPersistence.test.ts","owner-test","yes","new owner file"
"src/utils/tests/openingReviewPractice.test.ts","owner-test","yes","new owner file"
"src/utils/tests/openingsTable.test.tsx","owner-test","yes","new owner file"
"src/utils/tests/opponentPrep.test.ts","owner-test","yes","new owner file"
"src/utils/tests/pawnStructureDetector.test.ts","owner-test","yes","new owner file"
"src/utils/tests/pawnStructureTrajectory.test.ts","owner-test","yes","new owner file"
"src/utils/tests/playerName.test.ts","owner-test","yes","new owner file"
"src/utils/tests/practiceBot.test.ts","owner-test","yes","new owner file"
"src/utils/tests/puzzleTraining.test.ts","owner-test","yes","new owner file"
"src/utils/tests/repertoireCopy.test.ts","owner-test","yes","new owner file"
"src/web/WebApp.module.css","owner-code-ts","yes","new owner file"
"src/web/WebApp.tsx","owner-code-ts","yes","new owner file"
"src/web/boardTitle.ts","owner-code-ts","yes","new owner file"
"src/web/databaseSync.ts","owner-code-ts","yes","new owner file"
"src/web/engineScore.ts","owner-code-ts","yes","new owner file"
"src/web/explorer.ts","owner-code-ts","yes","new owner file"
"src/web/hostedDatabaseIndex.ts","owner-code-ts","yes","new owner file"
"src/web/hostedFiles.ts","owner-code-ts","yes","new owner file"
"src/web/lichessAuth.ts","owner-code-ts","yes","new owner file"
"src/web/lichessCloud.ts","owner-code-ts","yes","new owner file"
"src/web/model.ts","owner-code-ts","yes","new owner file"
"src/web/movePanel.ts","owner-code-ts","yes","new owner file"
"src/web/onlineImport.ts","owner-code-ts","yes","new owner file"
"src/web/pgn.ts","owner-code-ts","yes","new owner file"
"src/web/prepIndex.ts","owner-code-ts","yes","new owner file"
"src/web/prepSettings.ts","owner-code-ts","yes","new owner file"
"src/web/stockfishEngine.ts","owner-code-ts","yes","new owner file"
"src/web/storage.ts","owner-code-ts","yes","new owner file"
"src/web/tests/webCompanion.test.ts","owner-test","yes","new owner file"
".gitignore","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"index.html","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"package.json","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"pnpm-lock.yaml","gpl-base-modified","no","generated/lockfile over GPL base: DO NOT COPY, regenerate fresh"
"src-tauri/Cargo.lock","gpl-base-modified","no","generated/lockfile over GPL base: DO NOT COPY, regenerate fresh"
"src-tauri/Cargo.toml","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src-tauri/capabilities/main.json","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src-tauri/src/chess.rs","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src-tauri/src/db/create.sql","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src-tauri/src/db/delete_indexes.sql","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src-tauri/src/db/indexes.sql","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src-tauri/src/db/mod.rs","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src-tauri/src/db/search.rs","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src-tauri/src/db/search_index.rs","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src-tauri/src/engine/process.rs","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src-tauri/src/error.rs","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src-tauri/src/game.rs","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src-tauri/src/main.rs","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src-tauri/src/oauth.rs","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src-tauri/src/pgn.rs","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src-tauri/src/puzzle.rs","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src-tauri/src/sound.rs","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src-tauri/tauri.conf.json","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/App.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/bindings/generated.ts","gpl-base-modified","no","generated/lockfile over GPL base: DO NOT COPY, regenerate fresh"
"src/bindings/index.ts","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/chessground/Chessground.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/Sidebar.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/TopBar.module.css","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/TopBar.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/boards/Board.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/boards/BoardAnalysis.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/boards/BoardBar.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/boards/BoardControls.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/boards/BoardGame.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/boards/Clock.module.css","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/boards/Clock.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/boards/EnginesSelect.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/boards/EvalListener.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/boards/MoveInput.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/boards/OpponentForm.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/common/AccountCards.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/common/CompleteMoveCell.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/common/GameNotation.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/common/MoveCell.module.css","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/common/MoveCell.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/common/MoveControls.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/common/OpeningName.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/databases/AddDatabase.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/databases/DatabaseView.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/databases/DatabasesPage.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/databases/GameTable.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/databases/GridLayout.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/databases/PlayerSearchInput.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/databases/PlayerTable.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/databases/TournamentTable.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/engines/AddEngine.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/files/DirectoryTree.module.css","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/files/DirectoryTree.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/files/FileCard.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/files/FileIcon.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/files/FilesPage.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/files/Modals.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/files/file.ts","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/files/opening.ts","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/home/AccountCard.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/home/PersonalCardPanels/OpeningsPanel.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/panels/analysis/AnalysisPanel.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/panels/analysis/AnalysisRow.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/panels/analysis/BestMoves.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/panels/annotation/AnnotationEditor.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/panels/database/DatabaseLoader.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/panels/database/DatabasePanel.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/panels/database/GamesTable.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/panels/database/OpeningsTable.module.css","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/panels/database/OpeningsTable.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/panels/database/options/LichessOptionsPanel.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/panels/database/options/LocalOptionsPanel.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/panels/database/options/MastersOptionsPanel.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/panels/info/FileInfo.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/panels/info/InfoPanel.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/panels/practice/PracticePanel.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/puzzles/PuzzleBoard.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/puzzles/Puzzles.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/settings/SettingsPage.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/settings/SoundSelect.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/tabs/BoardTab.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/tabs/BoardsPage.module.css","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/tabs/BoardsPage.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/tabs/CreateRepertoireModal.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/tabs/ImportModal.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
"src/components/tabs/NewTabHome.tsx","gpl-base-modified","no","modified GPL-base file: owner hunks only via controlled per-feature extraction; DO NOT copy wholesale"
